id,tag_name,name,author,draft,prerelease,num_assets,created_at,published_at
11384143,snapshot-148,,splhack,False,False,1,2018-06-08 04:57:29,2018-06-08 05:53:35
11519340,snapshot-149,,splhack,False,False,1,2018-06-17 22:52:28,2018-06-17 23:07:29
12236979,snapshot-150,,splhack,False,False,1,2018-08-03 04:58:32,2018-08-03 05:17:12
12389680,snapshot-151,,splhack,False,False,1,2018-08-14 05:13:05,2018-08-14 05:31:48
14360104,snapshot-152,MacVim Snapshot 152,splhack,False,False,1,2018-12-05 11:14:15,2018-12-05 13:09:53
14509196,snapshot-153,MacVim Snapshot 153,ychin,False,False,1,2018-12-13 08:25:14,2018-12-13 08:30:17
15343372,snapshot-154,MacVim Snapshot 154,ychin,False,False,1,2019-02-04 05:31:35,2019-02-04 05:53:14
15630127,snapshot-155,MacVim Snapshot 155,ychin,False,False,1,2019-02-18 23:32:16,2019-02-18 22:19:25
17905249,snapshot-156,MacVim Snapshot 156,ychin,False,False,1,2019-06-11 07:22:11,2019-06-11 07:30:52
18759209,snapshot-157,MacVim Snapshot 157,ychin,False,False,1,2019-07-27 18:59:04,2019-07-21 20:18:32
20748249,snapshot-158,MacVim Snapshot 158,ychin,False,True,0,2019-10-16 15:48:56,2019-10-16 15:55:10
20765738,snapshot-159,MacVim Snapshot 159,ychin,False,False,1,2019-10-17 07:15:39,2019-10-17 08:02:53
21017291,snapshot-160,MacVim Snapshot 160,ychin,False,False,1,2019-10-28 11:28:29,2019-10-28 12:14:33
21083507,snapshot-161,MacVim Snapshot 161,ychin,False,False,2,2019-10-30 11:34:58,2019-10-30 13:02:03
24168431,snapshot-162,MacVim Snapshot 162,ychin,False,False,3,2020-03-03 11:43:37,2020-03-03 12:56:39
25421572,snapshot-163,MacVim Snapshot 163,ychin,False,False,3,2020-04-12 00:33:22,2020-04-12 06:40:32
29638720,snapshot-164,MacVim Snapshot 164,ychin,False,True,3,2020-08-13 07:23:16,2020-08-13 09:59:08
29727719,snapshot-165,MacVim Snapshot 165,ychin,False,False,3,2020-08-15 20:13:29,2020-08-15 21:17:08
31585046,snapshot-166,MacVim Snapshot 166,ychin,False,False,2,2020-09-21 03:42:40,2020-09-21 04:50:02
35142504,snapshot-167,MacVim Snapshot 167,ychin,False,True,0,2020-12-11 09:13:39,2020-12-11 21:46:56
35183330,snapshot-168,MacVim Snapshot 168,ychin,False,False,2,2020-12-12 05:35:12,2020-12-12 06:56:16
35523231,snapshot-169,MacVim Snapshot 169,ychin,False,False,2,2020-12-20 01:00:04,2020-12-19 22:17:32
39421335,snapshot-170,MacVim Snapshot 170,ychin,False,False,2,2021-03-08 07:15:42,2021-03-08 08:16:09
40805892,snapshot-171,MacVim Snapshot 171,ychin,False,False,2,2021-04-01 08:33:20,2021-04-01 09:21:01
50182582,snapshot-172,MacVim Release 172,ychin,False,False,2,2021-09-24 06:08:34,2021-09-25 01:19:13
72732191,snapshot-173,MacVim Release 173,ychin,False,False,2,2022-07-25 08:15:01,2022-07-25 10:43:19
77262926,release-174,MacVim Release 174,ychin,False,False,3,2022-09-15 18:56:43,2022-09-15 20:33:36
91467643,release-175,MacVim Release 175,ychin,False,True,1,2023-02-07 07:01:59,2023-02-07 09:03:29
91581659,release-176,MacVim Release 176,ychin,False,False,2,2023-02-07 11:36:07,2023-02-07 10:44:12
96106530,prerelease-176.1,MacVim r176.1 (prerelease),ychin,False,True,2,2023-03-19 08:26:46,2023-03-19 21:07:09
